Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 48.52      2.30     2.30  1280000     0.00     0.00  ppnm::matrix<double>::operator[](unsigned long const&)
 17.72      3.14     0.84   319600     0.00     0.00  ppnm::vector<double>::dot(ppnm::vector<double> const&) const
 14.35      3.82     0.68   320400     0.00     0.00  ppnm::matrix<double>::setCol(unsigned long, ppnm::vector<double> const&)
  9.92      4.29     0.47   319600     0.00     0.00  ppnm::vector<double>::operator-(ppnm::vector<double> const&) const
  9.28      4.73     0.44   319600     0.00     0.00  ppnm::vector<double>::operator*(double const&) const
  0.21      4.74     0.01        3     0.00     0.00  ppnm::matrix<double>::matrix(unsigned long, unsigned long)
  0.00      4.74     0.00  1920000     0.00     0.00  ppnm::vector<double>::vector(unsigned long, bool)
  0.00      4.74     0.00  1920000     0.00     0.00  ppnm::vector<double>::~vector()
  0.00      4.74     0.00   641600     0.00     0.00  ppnm::matrix<double>::operator()(unsigned long, unsigned long)
  0.00      4.74     0.00     4800     0.00     0.00  std::abs(double)
  0.00      4.74     0.00     1600     0.00     0.00  bool ppnm::approx<double>(double const&, double const&, double)
  0.00      4.74     0.00     1600     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      4.74     0.00     1553     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      4.74     0.00     1476     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      4.74     0.00     1390     0.00     0.00  std::__is_constant_evaluated()
  0.00      4.74     0.00     1028     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      4.74     0.00      984     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      4.74     0.00      984     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00      4.74     0.00      800     0.00     0.00  ppnm::vector<double>::magnitude() const
  0.00      4.74     0.00      800     0.00     0.00  ppnm::vector<double>::operator/(double const&) const
  0.00      4.74     0.00      755     0.00     0.00  std::is_constant_evaluated()
  0.00      4.74     0.00      740     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      4.74     0.00      738     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      4.74     0.00      520     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      4.74     0.00      516     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
  0.00      4.74     0.00      513     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      4.74     0.00      512     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::__normal_iterator(std::pair<char, char> const* const&)
  0.00      4.74     0.00      512     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::base() const
