x y v
0 3.042 0 
 
0.01 3.042 -0.004986 
 
0.03 3.041 -0.01493 
 
0.07 3.04 -0.03478 
 
0.139775 3.037 -0.06968 
 
0.210216 3.031 -0.106 
 
0.281016 3.022 -0.1445 
 
0.351687 3.01 -0.1858 
 
0.421771 2.995 -0.2306 
 
0.490863 2.978 -0.2794 
 
0.558654 2.957 -0.3328 
 
0.624932 2.933 -0.3914 
 
0.689576 2.906 -0.4556 
 
0.75253 2.875 -0.526 
 
0.813792 2.84 -0.603 
 
0.873393 2.802 -0.6871 
 
0.931387 2.76 -0.7787 
 
0.987845 2.713 -0.8782 
 
1.04285 2.662 -0.9859 
 
1.09649 2.606 -1.102 
 
1.14887 2.545 -1.227 
 
1.20011 2.479 -1.362 
 
1.25033 2.407 -1.505 
 
1.29969 2.329 -1.658 
 
1.34837 2.244 -1.82 
 
1.3966 2.152 -1.992 
 
1.4447 2.052 -2.175 
 
1.49308 1.942 -2.367 
 
1.54241 1.82 -2.571 
 
1.59387 1.682 -2.79 
 
1.65017 1.519 -3.03 
 
1.70746 1.338 -3.268 
 
1.75474 1.179 -3.453 
 
1.7986 1.024 -3.61 
 
1.84048 0.8702 -3.741 
 
1.8826 0.7102 -3.851 
 
1.92346 0.5511 -3.931 
 
1.96404 0.3904 -3.983 
 
2.00503 0.2266 -4.004 
 
2.04703 0.05858 -3.992 
 
2.09052 -0.1141 -3.943 
 
2.13535 -0.289 -3.854 
 
2.18047 -0.4602 -3.729 
 
2.22512 -0.6233 -3.573 
 
2.26952 -0.7781 -3.391 
 
2.31434 -0.9255 -3.186 
 
2.36032 -1.067 -2.958 
 
2.40842 -1.203 -2.706 
 
2.45995 -1.335 -2.427 
 
2.51705 -1.465 -2.113 
 
2.58303 -1.592 -1.752 
 
2.6437 -1.689 -1.425 
 
2.70182 -1.763 -1.12 
 
2.76033 -1.819 -0.8201 
 
2.81769 -1.858 -0.5339 
 
2.87523 -1.881 -0.2534 
 
2.93354 -1.887 0.02546 
 
2.99304 -1.877 0.306 
 
3.05401 -1.85 0.5909 
 
