x y v
0 1 0 
0.01 1 -0.01 
0.03 0.9996 -0.03 
0.07 0.9976 -0.06994 
0.15 0.9888 -0.1494 
0.31 0.9523 -0.3051 
0.477795 0.888 -0.4598 
0.643599 0.7999 -0.6001 
0.809901 0.6896 -0.7242 
0.976078 0.5603 -0.8283 
1.14229 0.4155 -0.9096 
1.30849 0.2593 -0.9658 
1.47469 0.09596 -0.9954 
1.64089 -0.07004 -0.9975 
1.80709 -0.2341 -0.9722 
1.97329 -0.3917 -0.9201 
2.13949 -0.5385 -0.8426 
2.3057 -0.6705 -0.7419 
2.4719 -0.784 -0.6207 
2.6381 -0.8759 -0.4825 
2.8043 -0.9437 -0.3309 
2.9705 -0.9854 -0.1703 
3.1367 -1 -0.004885 
3.30291 -0.987 0.1606 
3.46911 -0.9468 0.3217 
3.63531 -0.8806 0.4739 
3.80151 -0.79 0.6131 
3.96771 -0.6777 0.7353 
4.13391 -0.5467 0.8373 
4.30012 -0.4007 0.9162 
4.46632 -0.2436 0.9699 
4.63252 -0.07978 0.9968 
4.79872 0.08623 0.9963 
4.96492 0.2499 0.9683 
5.13112 0.4066 0.9136 
5.29733 0.5522 0.8337 
5.46353 0.6825 0.7309 
5.62973 0.794 0.6079 
5.79593 0.8836 0.4682 
5.96213 0.9489 0.3156 
6.12833 0.988 0.1542 
6.28319 1 -5.717e-06 
