x y v
0 10 5 
 
0.01 9.639 5.353 
 
0.0222689 9.169 5.791 
 
0.0346134 8.673 6.23 
 
0.0466905 8.17 6.652 
 
0.058667 7.663 7.055 
 
0.0706012 7.155 7.436 
 
0.0825428 6.651 7.791 
 
0.0945593 6.154 8.116 
 
0.106759 5.667 8.409 
 
0.119311 5.187 8.669 
 
0.13249 4.712 8.894 
 
0.14681 4.233 9.084 
 
0.163549 3.723 9.233 
 
0.177906 3.33 9.302 
 
0.191352 2.998 9.323 
 
0.204317 2.709 9.305 
 
0.217376 2.447 9.253 
 
0.230102 2.218 9.175 
 
0.242748 2.014 9.073 
 
0.255421 1.831 8.949 
 
0.268209 1.667 8.807 
 
0.281183 1.517 8.648 
 
0.294408 1.382 8.472 
 
0.307944 1.259 8.281 
 
0.321846 1.148 8.077 
 
0.336174 1.046 7.86 
 
0.350987 0.9536 7.63 
 
0.366347 0.8695 7.389 
 
0.382322 0.793 7.137 
 
0.398987 0.7235 6.876 
 
0.416423 0.6603 6.604 
 
0.434728 0.603 6.324 
 
0.454014 0.5509 6.035 
 
0.474416 0.5038 5.738 
 
0.49611 0.4611 5.433 
 
0.519327 0.4224 5.12 
 
0.544402 0.3873 4.797 
 
0.571873 0.3554 4.463 
 
0.602737 0.3261 4.111 
 
0.639382 0.2985 3.725 
 
0.674923 0.2775 3.383 
 
0.708371 0.2619 3.088 
 
0.740703 0.2498 2.826 
 
0.77333 0.2402 2.583 
 
0.80498 0.2329 2.366 
 
0.836229 0.2274 2.17 
 
0.86723 0.2234 1.991 
 
0.898114 0.2206 1.828 
 
0.928969 0.2189 1.677 
 
0.959866 0.2182 1.539 
 
0.990861 0.2183 1.412 
 
1.022 0.2193 1.295 
 
1.05334 0.2211 1.187 
 
1.0849 0.2237 1.087 
 
1.11674 0.227 0.9953 
 
1.14889 0.231 0.9105 
 
1.18139 0.2358 0.8322 
 
1.21427 0.2413 0.7599 
 
1.24759 0.2476 0.6933 
 
1.28139 0.2547 0.6318 
 
1.31571 0.2627 0.575 
 
1.3506 0.2716 0.5227 
 
1.38613 0.2814 0.4745 
 
1.42236 0.2923 0.4301 
 
1.45936 0.3043 0.3892 
 
1.4972 0.3176 0.3515 
 
1.53598 0.3323 0.3169 
 
1.57578 0.3486 0.2851 
 
1.61673 0.3666 0.2558 
 
1.65894 0.3865 0.229 
 
1.70256 0.4088 0.2044 
 
1.74776 0.4337 0.1819 
 
1.79471 0.4616 0.1614 
 
1.84364 0.4931 0.1426 
 
1.89482 0.5288 0.1256 
 
1.94857 0.5696 0.1101 
 
2.0053 0.6165 0.09603 
 
2.0655 0.6712 0.08333 
 
2.12975 0.7354 0.07189 
 
2.19854 0.8116 0.06168 
 
2.2715 0.9017 0.05275 
 
2.34629 1.005 0.04526 
 
2.41988 1.119 0.03924 
 
2.49119 1.242 0.03446 
 
2.56045 1.375 0.03065 
 
2.62808 1.519 0.02759 
 
2.69442 1.675 0.02514 
 
2.75972 1.844 0.02318 
 
2.82417 2.028 0.02164 
 
2.88792 2.229 0.02047 
 
2.9511 2.447 0.01963 
 
3.01381 2.685 0.0191 
 
3.07616 2.945 0.01888 
 
3.13825 3.229 0.01898 
 
3.20021 3.539 0.01943 
 
3.26219 3.879 0.0203 
 
3.32444 4.253 0.02169 
 
3.38737 4.668 0.02378 
 
3.45182 5.133 0.02687 
 
3.51988 5.674 0.03163 
 
3.59392 6.324 0.03948 
 
3.64427 6.805 0.04724 
 
3.68821 7.252 0.05638 
 
3.72698 7.668 0.06702 
 
3.76175 8.058 0.07936 
 
3.79329 8.426 0.09363 
 
3.82216 8.773 0.1101 
 
3.84876 9.101 0.1289 
 
3.87341 9.411 0.1504 
 
3.89638 9.705 0.1748 
 
3.91787 9.983 0.2025 
 
3.93807 10.24 0.2338 
 
3.95712 10.49 0.269 
 
3.97515 10.72 0.3086 
 
3.99228 10.94 0.3529 
 
4.00859 11.14 0.4023 
 
4.02419 11.33 0.4575 
 
4.03988 11.51 0.5221 
 
4.05482 11.67 0.5937 
 
4.06917 11.82 0.6731 
 
4.08299 11.95 0.761 
 
4.09633 12.06 0.8581 
 
4.10926 12.15 0.9654 
 
4.12183 12.23 1.084 
 
4.1341 12.28 1.214 
 
4.14612 12.31 1.357 
 
4.15793 12.32 1.515 
 
4.1696 12.31 1.689 
 
4.18119 12.26 1.881 
 
4.19275 12.2 2.093 
 
4.20437 12.1 2.328 
 
4.21614 11.96 2.589 
 
4.22822 11.78 2.882 
 
4.24081 11.56 3.215 
 
4.25428 11.26 3.6 
 
4.26945 10.87 4.07 
 
4.2844 10.42 4.563 
 
4.29765 9.98 5.02 
 
4.31022 9.521 5.465 
 
4.32288 9.029 5.917 
 
4.3351 8.532 6.35 
 
4.34714 8.028 6.767 
 
4.3591 7.52 7.165 
 
4.37103 7.012 7.539 
 
4.38299 6.51 7.885 
 
4.39504 6.016 8.202 
 
4.40732 5.531 8.486 
 
4.42001 5.054 8.736 
 
4.43344 4.579 8.951 
 
4.44825 4.094 9.13 
 
4.46615 3.567 9.266 
 
4.48005 3.201 9.315 
 
4.49328 2.886 9.32 
 
4.50666 2.6 9.288 
 
4.51951 2.353 9.225 
 
4.5322 2.135 9.137 
 
4.54484 1.94 9.026 
 
4.55755 1.764 8.895 
 
4.5704 1.606 8.746 
 
4.58347 1.462 8.58 
 
4.59681 1.332 8.398 
 
4.61049 1.214 8.202 
 
4.62455 1.106 7.992 
 
4.63906 1.008 7.77 
 
4.65409 0.9192 7.536 
 
4.66968 0.8383 7.29 
 
4.68592 0.7646 7.035 
 
4.70288 0.6977 6.769 
 
4.72065 0.6369 6.494 
 
4.73933 0.5817 6.21 
 
4.75904 0.5317 5.918 
 
4.77993 0.4863 5.618 
 
4.8022 0.4452 5.31 
 
4.8261 0.408 4.993 
 
4.85205 0.3743 4.666 
 
4.8807 0.3435 4.326 
 
4.91343 0.3151 3.964 
 
4.95379 0.2876 3.555 
 
4.98808 0.2695 3.238 
 
5.02093 0.2558 2.959 
 
5.05423 0.2447 2.7 
 
5.08619 0.2364 2.472 
 
5.11763 0.23 2.266 
 
5.14874 0.2253 2.079 
 
5.17967 0.2218 1.908 
 
5.21053 0.2196 1.751 
 
5.24139 0.2184 1.607 
 
5.27233 0.2181 1.475 
 
5.3034 0.2187 1.353 
 
5.33463 0.2201 1.24 
 
5.36607 0.2223 1.136 
 
5.39777 0.2252 1.041 
 
5.42976 0.2289 0.9523 
 
5.46207 0.2333 0.8708 
 
5.49476 0.2384 0.7955 
 
5.52785 0.2443 0.7261 
 
5.5614 0.251 0.6621 
 
5.59545 0.2586 0.603 
 
5.63005 0.267 0.5485 
 
5.66526 0.2763 0.4983 
 
5.70113 0.2867 0.452 
 
5.73773 0.2981 0.4093 
 
5.77513 0.3108 0.3701 
 
5.81343 0.3247 0.3339 
 
5.8527 0.3402 0.3007 
 
5.89306 0.3573 0.2702 
 
5.93462 0.3762 0.2422 
 
5.97752 0.3973 0.2165 
 
6.0219 0.4208 0.193 
 
6.06794 0.4471 0.1715 
 
6.11584 0.4768 0.1519 
 
6.16586 0.5102 0.134 
 
6.21827 0.5484 0.1177 
 
6.27344 0.5921 0.1029 
 
6.33183 0.6426 0.08955 
 
6.39397 0.7018 0.07749 
 
6.46044 0.7717 0.06666 
 
6.53145 0.8546 0.05707 
 
6.60574 0.9516 0.04884 
 
6.68022 1.061 0.04209 
 
6.75269 1.179 0.03673 
 
6.82292 1.307 0.03246 
 
6.89133 1.445 0.02905 
 
6.95828 1.595 0.0263 
 
7.02407 1.757 0.02411 
 
7.08893 1.934 0.02237 
 
7.15301 2.126 0.02102 
 
7.21647 2.335 0.02001 
 
7.2794 2.563 0.01933 
 
7.34192 2.812 0.01895 
 
7.40412 3.083 0.01889 
 
7.46613 3.38 0.01916 
 
7.52808 3.704 0.01981 
 
7.59015 4.061 0.02092 
 
7.65267 4.454 0.02263 
 
7.71621 4.892 0.02516 
 
7.78203 5.39 0.02896 
 
7.85402 5.991 0.03514 
 
7.909 6.492 0.04198 
 
7.95729 6.964 0.05026 
 
7.99926 7.4 0.05989 
 
8.03653 7.806 0.0711 
 
8.07011 8.188 0.08409 
 
8.10067 8.548 0.09907 
 
8.12871 8.889 0.1163 
 
8.1546 9.211 0.136 
 
8.17864 9.515 0.1585 
 
8.20107 9.803 0.184 
 
8.2221 10.08 0.2129 
 
8.24188 10.33 0.2456 
 
8.26056 10.57 0.2822 
 
8.27827 10.8 0.3234 
 
8.2951 11.01 0.3694 
 
8.31116 11.21 0.4208 
 
8.32732 11.4 0.4813 
 
8.34268 11.57 0.5483 
 
8.3574 11.73 0.6228 
 
8.37153 11.87 0.7053 
 
8.38516 11.99 0.7966 
 
8.39834 12.1 0.8975 
 
8.41113 12.18 1.009 
 
8.42358 12.25 1.131 
 
8.43575 12.29 1.267 
 
8.44768 12.32 1.415 
 
8.45944 12.32 1.579 
 
8.47107 12.29 1.76 
 
8.48263 12.24 1.959 
 
8.49421 12.16 2.179 
 
8.50587 12.05 2.423 
 
8.51774 11.9 2.696 
 
8.52998 11.7 3.003 
 
8.54284 11.45 3.353 
 
8.55682 11.13 3.766 
 
8.57307 10.68 4.282 
 
8.58703 10.24 4.753 
 
8.59995 9.793 5.204 
 
8.613 9.303 5.669 
 
8.62539 8.81 6.111 
 
8.63752 8.309 6.537 
 
8.64952 7.803 6.946 
 
8.66146 7.295 7.334 
 
8.67339 6.789 7.696 
 
8.68538 6.29 8.029 
 
8.69752 5.8 8.332 
 
8.70995 5.319 8.601 
 
8.72292 4.843 8.836 
 
8.73685 4.367 9.035 
 
8.7527 3.87 9.196 
 
8.76775 3.444 9.287 
 
8.78142 3.095 9.321 
 
8.7945 2.794 9.314 
 
8.8077 2.521 9.271 
 
8.82048 2.284 9.201 
 
8.83314 2.073 9.105 
 
8.84579 1.884 8.988 
 
8.85854 1.714 8.851 
 
8.87145 1.56 8.697 
 
8.88459 1.421 8.526 
 
8.89803 1.295 8.34 
 
8.91182 1.18 8.139 
 
8.92601 1.075 7.926 
 
8.94067 0.9801 7.699 
 
8.95587 0.8937 7.462 
 
8.97165 0.815 7.213 
 
8.9881 0.7435 6.954 
 
9.0053 0.6785 6.686 
 
9.02334 0.6194 6.408 
 
9.04232 0.5659 6.122 
 
9.06237 0.5173 5.827 
 
9.08366 0.4733 5.525 
 
9.10639 0.4335 5.214 
 
9.13087 0.3974 4.894 
 
9.15756 0.3646 4.564 
 
9.18726 0.3346 4.218 
 
9.22176 0.3066 3.846 
 
9.25931 0.2828 3.474 
 
9.29318 0.2659 3.168 
 
9.32578 0.253 2.897 
 
9.35874 0.2426 2.646 
 
9.39055 0.2347 2.423 
 
9.42189 0.2288 2.222 
 
9.45295 0.2244 2.038 
 
9.48385 0.2212 1.871 
 
9.51471 0.2192 1.717 
 
9.54559 0.2183 1.576 
 
9.57655 0.2182 1.446 
 
9.60765 0.219 1.326 
 
9.63893 0.2206 1.215 
 
9.67043 0.2229 1.114 
 
9.70219 0.226 1.02 
 
9.73424 0.2298 0.9329 
 
9.76664 0.2344 0.8529 
 
9.79942 0.2397 0.7791 
 
9.83261 0.2458 0.7109 
 
9.86628 0.2527 0.648 
 
9.90045 0.2604 0.59 
 
9.93518 0.269 0.5366 
 
9.97053 0.2786 0.4873 
 
10.0066 0.2892 0.4418 
 
10.0433 0.3009 0.4 
 
10.0809 0.3139 0.3615 
 
10.1195 0.3282 0.326 
 
10.159 0.344 0.2935 
 
10.1996 0.3615 0.2635 
 
10.2415 0.3809 0.2361 
 
10.2847 0.4025 0.2109 
 
10.3294 0.4266 0.1879 
 
10.3759 0.4537 0.1668 
 
10.4242 0.4841 0.1476 
 
10.4748 0.5186 0.1301 
 
10.5278 0.5579 0.1142 
 
10.5837 0.6031 0.09972 
 
10.6429 0.6554 0.08666 
 
10.706 0.7168 0.07489 
 
10.7735 0.7896 0.06434 
 
10.8454 0.8758 0.05505 
 
10.9201 0.9758 0.04715 
 
10.9942 1.087 0.04075 
 
11.0661 1.208 0.03566 
 
11.1359 1.338 0.03161 
 
11.2039 1.478 0.02836 
 
11.2706 1.631 0.02575 
 
11.3362 1.797 0.02367 
 
11.4008 1.977 0.02202 
 
11.4648 2.173 0.02075 
 
11.5281 2.386 0.01983 
 
11.5909 2.619 0.01921 
 
11.6533 2.872 0.01891 
 
11.7155 3.149 0.01892 
 
11.7775 3.452 0.01927 
 
11.8394 3.783 0.02002 
 
11.9016 4.148 0.02125 
 
11.9643 4.55 0.02313 
 
12.0282 5 0.0259 
 
12.0949 5.516 0.0301 
 
12.1699 6.158 0.03723 
 
12.2223 6.647 0.04448 
 
12.2683 7.107 0.05317 
 
12.3087 7.532 0.06329 
 
12.3447 7.931 0.07504 
 
12.3772 8.305 0.08864 
 
12.4069 8.659 0.1043 
 
12.4343 8.993 0.1223 
 
12.4595 9.31 0.1429 
 
12.483 9.609 0.1663 
 
12.505 9.892 0.1929 
 
12.5256 10.16 0.2229 
 
12.545 10.41 0.2568 
 
12.5634 10.65 0.2949 
 
12.5808 10.87 0.3375 
 
12.5974 11.08 0.3852 
 
12.6132 11.27 0.4384 
 
12.6291 11.46 0.5009 
 
12.6443 11.62 0.5701 
 
12.6588 11.78 0.647 
 
12.6728 11.91 0.7321 
 
12.6863 12.03 0.8262 
 
12.6993 12.13 0.9301 
 
12.712 12.2 1.045 
 
12.7244 12.26 1.171 
 
12.7365 12.3 1.31 
 
12.7483 12.32 1.463 
 
12.7601 12.31 1.632 
 
12.7717 12.28 1.818 
 
12.7832 12.22 2.023 
 
12.7948 12.13 2.251 
 
12.8065 12.01 2.503 
 
12.8185 11.85 2.785 
 
12.8309 11.64 3.104 
 
12.844 11.37 3.471 
 
12.8585 11.01 3.908 
 
12.8747 10.55 4.432 
 
12.8882 10.11 4.894 
 
12.9009 9.651 5.342 
 
12.9137 9.16 5.799 
 
12.926 8.665 6.237 
 
12.9381 8.162 6.658 
 
12.9501 7.655 7.061 
 
12.962 7.147 7.442 
 
12.9739 6.643 7.796 
 
12.986 6.147 8.121 
 
12.9982 5.659 8.413 
 
13.0107 5.18 8.673 
 
13.0239 4.705 8.898 
 
13.0383 4.225 9.086 
 
13.0551 3.715 9.235 
 
13.0694 3.323 9.303 
 
13.0828 2.992 9.323 
 
13.0965 2.69 9.302 
 
13.1094 2.432 9.249 
 
13.1221 2.204 9.169 
 
13.1348 2.002 9.065 
 
13.1475 1.82 8.941 
 
13.1603 1.656 8.797 
 
13.1733 1.508 8.637 
 
13.1865 1.374 8.46 
 
13.2001 1.252 8.269 
 
13.214 1.141 8.063 
 
13.2283 1.04 7.845 
 
13.2432 0.9479 7.615 
 
13.2586 0.8643 7.373 
 
13.2746 0.7883 7.121 
 
13.2913 0.7192 6.858 
 
13.3088 0.6564 6.586 
 
13.3272 0.5994 6.305 
 
13.3465 0.5477 6.016 
 
13.367 0.5009 5.719 
 
13.3888 0.4584 5.413 
 
13.4121 0.42 5.099 
 
13.4373 0.3851 4.776 
 
13.465 0.3534 4.441 
 
13.4961 0.3243 4.087 
 
13.5333 0.2967 3.698 
 
13.5686 0.2763 3.361 
 
13.6019 0.2609 3.068 
 
13.6342 0.2491 2.808 
 
13.6667 0.2397 2.567 
 
13.6983 0.2325 2.352 
 
13.7296 0.2271 2.157 
 
13.7606 0.2232 1.98 
 
13.7914 0.2204 1.817 
 
13.8223 0.2188 1.668 
 
13.8532 0.2181 1.53 
 
13.8842 0.2184 1.404 
 
13.9154 0.2194 1.287 
 
13.9467 0.2213 1.18 
 
13.9783 0.2239 1.081 
 
14.0101 0.2272 0.9893 
 
14.0423 0.2313 0.9049 
 
14.0748 0.2361 0.8271 
 
14.1078 0.2417 0.7552 
 
14.1411 0.2481 0.6889 
 
14.1749 0.2552 0.6278 
 
14.2093 0.2633 0.5713 
 
14.2442 0.2722 0.5193 
 
14.2798 0.2821 0.4714 
 
14.3161 0.2931 0.4272 
 
14.3531 0.3052 0.3865 
 
14.391 0.3186 0.3491 
 
14.4299 0.3334 0.3146 
 
14.4698 0.3497 0.283 
 
14.5108 0.3679 0.2539 
 
14.5531 0.388 0.2273 
 
14.5968 0.4104 0.2028 
 
14.6421 0.4355 0.1805 
 
14.6892 0.4636 0.1601 
 
14.7383 0.4954 0.1414 
 
14.7896 0.5314 0.1245 
 
14.8436 0.5726 0.1091 
 
14.9005 0.62 0.09512 
 
14.961 0.6752 0.08251 
 
15 0.7138 0.07541 
 
