t x y
0 10 5
0.01 9.63907 5.35297
0.02 9.25899 5.7094
0.03 8.86076 6.06637
0.04 8.44997 6.41948
0.05 8.03057 6.76485
0.06 7.60611 7.09872
0.07 7.1804 7.41752
0.08 6.75748 7.71786
0.09 6.34116 7.99661
0.1 5.93459 8.25147
0.11 5.54071 8.48036
0.12 5.16182 8.682
0.13 4.79978 8.85559
0.14 4.4561 9.00074
0.15 4.13153 9.11784
0.16 3.82673 9.20738
0.17 3.54173 9.27039
0.18 3.2762 9.30827
0.19 3.0298 9.32242
0.2 2.8019 9.31443
0.21 2.59161 9.28609
0.22 2.39801 9.23917
0.23 2.2201 9.17544
0.24 2.05685 9.09663
0.25 1.90725 9.00441
0.26 1.77027 8.90035
0.27 1.64491 8.78599
0.28 1.53026 8.66269
0.29 1.42541 8.53176
0.3 1.32952 8.3944
0.31 1.24184 8.25165
0.32 1.16161 8.10455
0.33 1.08818 7.95396
0.34 1.02096 7.80067
0.35 0.959349 7.64542
0.36 0.902874 7.48885
0.37 0.851064 7.33149
0.38 0.80348 7.1739
0.39 0.759758 7.01649
0.4 0.719552 6.85965
0.41 0.682529 6.70373
0.42 0.64842 6.54904
0.43 0.616973 6.3958
0.44 0.58794 6.24427
0.45 0.561113 6.09464
0.46 0.536313 5.94704
0.47 0.513365 5.80164
0.48 0.4921 5.65854
0.49 0.472384 5.51785
0.5 0.454098 5.37963
0.51 0.43712 5.24394
0.52 0.421335 5.11085
0.53 0.406654 4.98038
0.54 0.392997 4.85255
0.55 0.380284 4.72736
0.56 0.368435 4.60485
0.57 0.357382 4.48501
0.58 0.347073 4.36781
0.59 0.337456 4.25325
0.6 0.328481 4.14131
0.61 0.320095 4.03197
0.62 0.312253 3.9252
0.63 0.304925 3.82097
0.64 0.298079 3.71924
0.65 0.291684 3.61997
0.66 0.28571 3.52314
0.67 0.280127 3.4287
0.68 0.274904 3.33661
0.69 0.270022 3.24683
0.7 0.265461 3.15932
0.71 0.261204 3.07403
0.72 0.257234 2.99092
0.73 0.253531 2.90995
0.74 0.250079 2.83106
0.75 0.246866 2.75423
0.76 0.243881 2.67939
0.77 0.24111 2.60652
0.78 0.238543 2.53556
0.79 0.236168 2.46647
0.8 0.233975 2.3992
0.81 0.231956 2.33373
0.82 0.230104 2.26999
0.83 0.228411 2.20796
0.84 0.226869 2.14759
0.85 0.225471 2.08884
0.86 0.224211 2.03166
0.87 0.223084 1.97603
0.88 0.222085 1.92191
0.89 0.221209 1.86924
0.9 0.220451 1.81801
0.91 0.219806 1.76817
0.92 0.21927 1.71968
0.93 0.218841 1.67251
0.94 0.218514 1.62664
0.95 0.218287 1.58202
0.96 0.218156 1.53861
0.97 0.218117 1.4964
0.98 0.21817 1.45535
0.99 0.218311 1.41542
1 0.218539 1.37659
1.01 0.21885 1.33883
1.02 0.219244 1.30211
1.03 0.219717 1.2664
1.04 0.220269 1.23168
1.05 0.220899 1.19792
1.06 0.221604 1.16509
1.07 0.222383 1.13317
1.08 0.223235 1.10213
1.09 0.224159 1.07196
1.1 0.225153 1.04261
1.11 0.226218 1.01409
1.12 0.227352 0.98635
1.13 0.228554 0.959384
1.14 0.229823 0.933165
1.15 0.231159 0.907675
1.16 0.232561 0.882894
1.17 0.234029 0.858802
1.18 0.235562 0.83538
1.19 0.23716 0.81261
1.2 0.238822 0.790472
1.21 0.240549 0.76895
