x, f(x), F(x), df(x)/dx
0, 1, 0, -0.313431
0.1, 0.968511, 0.0984292, -0.317819
0.2, 0.936144, 0.193673, -0.330983
0.3, 0.902022, 0.285599, -0.352923
0.4, 0.865267, 0.373989, -0.383639
0.5, 0.825001, 0.458536, -0.423131
0.6, 0.780348, 0.538843, -0.471399
0.7, 0.730429, 0.61443, -0.528443
0.8, 0.674367, 0.684724, -0.594263
0.9, 0.611284, 0.749069, -0.668859
1, 0.540302, 0.806718, -0.752231
1.1, 0.460926, 0.856847, -0.832954
1.2, 0.374181, 0.898657, -0.899601
1.3, 0.281475, 0.931484, -0.952174
1.4, 0.184215, 0.954801, -0.990672
1.5, 0.0838095, 0.968222, -1.01509
1.6, -0.0183347, 0.971504, -1.02544
1.7, -0.12081, 0.964544, -1.02172
1.8, -0.222209, 0.947378, -1.00391
1.9, -0.321123, 0.920185, -0.972037
2, -0.416147, 0.883283, -0.926085
2.1, -0.506019, 0.837129, -0.870477
2.2, -0.590068, 0.782274, -0.809631
2.3, -0.66777, 0.719327, -0.743548
2.4, -0.738603, 0.648949, -0.672227
2.5, -0.802041, 0.571853, -0.595669
2.6, -0.857562, 0.488804, -0.513873
2.7, -0.904641, 0.400622, -0.426839
2.8, -0.942755, 0.308175, -0.334568
2.9, -0.97138, 0.212387, -0.23706
3, -0.989992, 0.114233, -0.134313
3.1, -0.998212, 0.0147361, -0.030633
3.2, -0.996231, -0.0850696, 0.0696774
3.3, -0.984389, -0.184181, 0.166618
3.4, -0.96302, -0.28163, 0.260189
3.5, -0.932463, -0.376479, 0.35039
3.6, -0.893055, -0.467827, 0.437221
3.7, -0.845131, -0.554806, 0.520682
3.8, -0.78903, -0.636581, 0.600774
3.9, -0.725089, -0.712351, 0.677496
4, -0.653644, -0.781349, 0.750848
4.1, -0.575147, -0.842844, 0.817358
4.2, -0.490516, -0.896174, 0.873556
4.3, -0.40078, -0.940777, 0.919442
4.4, -0.306971, -0.976194, 0.955015
4.5, -0.210121, -1.00207, 0.980275
4.6, -0.11126, -1.01815, 0.995223
4.7, -0.0114199, -1.02429, 0.999858
4.8, 0.088368, -1.02044, 0.99418
4.9, 0.187072, -1.00665, 0.97819
5, 0.283662, -0.983093, 0.951887
5.1, 0.37716, -0.950022, 0.916885
5.2, 0.466803, -0.907789, 0.874799
5.3, 0.551883, -0.856814, 0.825627
5.4, 0.631692, -0.797588, 0.769371
5.5, 0.705521, -0.730675, 0.706029
5.6, 0.772662, -0.656707, 0.635602
5.7, 0.832406, -0.576389, 0.558091
5.8, 0.884044, -0.490496, 0.473494
5.9, 0.926868, -0.399874, 0.381812
6, 0.96017, -0.30544, 0.283046
6.1, 0.983382, -0.208177, 0.181403
6.2, 0.996495, -0.1091, 0.0810952
6.3, 0.999645, -0.00921046, -0.0178791
6.4, 0.992964, 0.0905014, -0.11552
6.5, 0.976586, 0.189059, -0.211826
6.6, 0.950643, 0.2855, -0.306799
6.7, 0.91527, 0.378873, -0.400437
6.8, 0.8706, 0.468244, -0.492742
6.9, 0.816766, 0.552688, -0.583713
7, 0.753902, 0.631296, -0.67335
7.1, 0.682338, 0.703177, -0.755756
7.2, 0.603189, 0.767511, -0.825034
7.3, 0.517768, 0.823606, -0.881184
7.4, 0.427389, 0.870899, -0.924207
7.5, 0.333365, 0.908962, -0.954102
7.6, 0.237007, 0.937494, -0.970868
7.7, 0.139629, 0.956329, -0.974508
7.8, 0.0425428, 0.96543, -0.965019
7.9, -0.0529376, 0.964891, -0.942402
8, -0.1455, 0.95494, -0.906658
8.1, -0.234121, 0.935925, -0.866465
8.2, -0.318934, 0.908242, -0.830503
8.3, -0.400363, 0.872251, -0.798772
8.4, -0.478829, 0.828269, -0.771271
8.5, -0.554758, 0.77657, -0.748002
8.6, -0.628571, 0.717388, -0.728963
8.7, -0.700691, 0.650912, -0.714155
8.8, -0.771543, 0.577292, -0.703578
8.9, -0.841548, 0.496632, -0.697232
9, -0.91113, 0.408996, -0.695116
