x, f(x), F(x), df(x)/dx
0, 1, 0, -0.0721751
0.2, 0.970064, 0.197523, -0.227184
0.4, 0.909126, 0.385959, -0.382193
0.6, 0.817187, 0.559107, -0.537202
0.8, 0.694245, 0.710767, -0.692211
1, 0.540302, 0.834738, -0.84722
1.2, 0.366489, 0.925563, -0.890912
1.4, 0.183938, 0.980751, -0.934603
1.6, -0.00735226, 0.998556, -0.978295
1.8, -0.20738, 0.977228, -1.02199
2, -0.416147, 0.915021, -1.06568
2.2, -0.609609, 0.811789, -0.868945
2.4, -0.763725, 0.6738, -0.672212
2.6, -0.878494, 0.508923, -0.475479
2.8, -0.953917, 0.325026, -0.278746
3, -0.989992, 0.129979, -0.0820133
3.2, -0.989661, -0.0685441, 0.0853315
3.4, -0.95586, -0.263654, 0.252676
3.6, -0.88859, -0.448657, 0.420021
3.8, -0.787851, -0.616859, 0.587366
4, -0.653644, -0.761566, 0.754711
4.2, -0.495398, -0.876714, 0.827749
4.4, -0.322544, -0.958751, 0.900787
4.6, -0.135083, -1.00476, 0.973825
4.8, 0.0669859, -1.01181, 1.04686
5, 0.283662, -0.976989, 1.1199
5.2, 0.489907, -0.899041, 0.942544
5.4, 0.66068, -0.783391, 0.765187
5.6, 0.795981, -0.637134, 0.58783
5.8, 0.895811, -0.467364, 0.410473
6, 0.96017, -0.281174, 0.233116
6.2, 0.989218, -0.0856495, 0.0573622
6.4, 0.983115, 0.11217, -0.118391
6.6, 0.941862, 0.305253, -0.294145
6.8, 0.865457, 0.486571, -0.469898
7, 0.753902, 0.649093, -0.645652
7.2, 0.614622, 0.786283, -0.747152
7.4, 0.455041, 0.893588, -0.848652
7.6, 0.275161, 0.966947, -0.950152
7.8, 0.0749805, 1.0023, -1.05165
8, -0.1455, 0.995586, -1.15315
8.2, -0.36063, 0.944456, -0.998144
8.4, -0.544758, 0.8534, -0.843135
8.6, -0.697884, 0.72862, -0.688126
8.8, -0.820008, 0.576314, -0.533117
